budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
17000000,Columbia Pictures Corporation,USA,Ridley Scott,Crime,10278549,Someone to Watch Over Me,R,09/10/87,106,6.1,Tom Berenger,7854,Howard Franklin,1987
29000000,Universal Pictures,UK,Richard Attenborough,Biography,5899797,Cry Freedom,PG,06/11/87,157,7.5,Denzel Washington,10692,John Briley,1987
6000000,Fourth Protocol,UK,John Mackenzie,Thriller,12423831,The Fourth Protocol,R,28/08/87,119,6.5,Michael Caine,7532,George Axelrod,1987
27000000,Home Box Office (HBO),USA,Hector Babenco,Drama,7393346,Ironweed,R,12/02/88,143,6.8,Jack Nicholson,6874,William Kennedy,1987
5000000,Cannon Group,USA,J. Lee Thompson,Action,6880310,Death Wish 4: The Crackdown,R,06/11/87,99,5.3,Charles Bronson,6770,Brian Garfield,1987
18000000,Amercent Films,USA,Jonathan Kaplan,Comedy,18532286,Project X,PG,17/04/87,108,6.1,Matthew Broderick,8879,Lawrence Lasker,1987
4000000,Cannon Films,USA,Ruggero Deodato,Fantasy,800000,The Barbarians,R,20/03/87,87,4.9,David Paul,2538,Alberto Piferi,1987
55000000,Columbia Pictures Corporation,USA,Elaine May,Action,14375181,Ishtar,PG-13,15/05/87,107,4.2,Warren Beatty,9094,Elaine May,1987
100000,Conquering Unicorn,USA,Robert Townsend,Comedy,5228617,Hollywood Shuffle,R,20/03/87,78,7,Robert Townsend,3009,Robert Townsend,1987
22000000,Carolco Entertainment,USA,Walter Hill,Action,11307844,Extreme Prejudice,R,24/04/87,96,6.6,Nick Nolte,4924,John Milius,1987
350000,Cannon Group,USA,Sam Firstenberg,Action,4000000,American Ninja 2: The Confrontation,R,01/05/87,90,4.8,Michael Dudikoff,6565,Gary Conway,1987
4000000,Cinecom Entertainment Group,USA,John Sayles,Drama,1680358,Matewan,PG-13,30/06/88,135,7.9,Chris Cooper,6198,John Sayles,1987
24000000,Columbia Pictures,USA,Paul Weiland,Action,4916871,Leonard Part 6,PG,18/12/87,85,2.2,Bill Cosby,7387,Jonathan Reynolds,1987
5000000,Golan-Globus Productions,USA,Jerry Schatzberg,Crime,1119112,Street Smart,R,20/03/87,97,6.4,Christopher Reeve,2096,David Freeman,1987
9000000,Gladden Entertainment,USA,Michael Cimino,Action,5406879,The Sicilian,R,23/10/87,115,5.3,Christopher Lambert,3889,Mario Puzo,1987
7000000,De Laurentiis Entertainment Group (DEG),USA,Bob Giraldi,Comedy,7019441,Hiding Out,PG-13,06/11/87,98,6.4,Jon Cryer,2584,Joe Menosky,1987
10000000,Orion Pictures,USA,Harley Cokeliss,Action,3060858,Malone,R,01/05/87,92,5.6,Burt Reynolds,1959,Christopher Frank,1987
6000000,"Samuel Goldwyn Company, The",UK,Mike Hodges,Action,1432687,A Prayer for the Dying,R,11/09/87,107,6.4,Mickey Rourke,3731,Jack Higgins,1987
5300000,Columbia Pictures,UK,Michael Radford,Crime,3107551,White Mischief,R,06/05/88,107,6.3,Sarah Miles,2171,James Fox,1987
